Sampling method,testcase,Conformations generated,Unique conformers generated,time,thread_avg,Duplicates after optimization,Incorrect topology after optimization,High-energy conformations (>15 kcal/mol),Low-energy conformations (<15 kcal/mol),"Time per unique
low-energy conformer, s","Time per unique
conformer, s"
XTB metadynamics,csd_VOLHOU,146,146,602.7834462281317,1.0,0,0,144,2,301.3917231140658,4.128653741288573
XTB metadynamics,pdb_1E9W,30,30,611.7199846152216,1.0,0,0,26,4,152.9299961538054,20.39066615384072
XTB metadynamics,csd_CTVHVH01,37,37,606.3802664484829,1.0,0,0,20,17,35.66942743814605,16.388655849958997
XTB metadynamics,csd_CGPGAP10,292,292,602.1443405710161,1.0,83,0,175,34,17.710127663853413,2.8810733998613207
XTB metadynamics,csd_QOSNAN,102,102,603.8695690892637,1.0,0,0,87,15,40.25797127261758,5.920289893031997
XTB metadynamics,pdb_2IYA,92,92,603.2110259812325,1.0,0,0,89,3,201.07034199374417,6.556641586752527
XTB metadynamics,pdb_1S22,104,104,603.0959958732128,1.0,0,0,57,47,12.83182969943006,5.798999960319354
XTB metadynamics,pdb_1NTK,158,158,602.5094890315086,1.0,0,0,69,89,6.769769539679872,3.813351196401953
XTB metadynamics,pdb_2DG4,62,62,605.1499080248177,1.0,0,0,47,15,40.34332720165451,9.76048238749706
XTB metadynamics,pdb_2IYF,77,77,603.3347161393613,1.0,0,0,57,20,30.166735806968063,7.835515794017679
XTB metadynamics,csd_JINWUZ,122,122,603.1192067973316,1.0,1,0,90,31,19.45545828378489,4.984456254523401
XTB metadynamics,pdb_2F3E,103,103,603.03527812846,1.0,0,0,79,24,25.12646992201917,5.854711438140389
XTB metadynamics,pdb_2F3F,155,155,602.4719232469797,1.0,0,0,148,7,86.06741760671139,3.886915633851482
XTB metadynamics,pdb_1FKD,73,73,603.9481713734567,1.0,0,0,67,6,100.65802856224279,8.273262621554201
XTB metadynamics,pdb_2OTJ,126,126,602.8483941722661,1.0,0,0,104,22,27.402199735103007,4.784511064859255
XTB metadynamics,pdb_1FKL,62,62,604.5422999337316,1.0,0,0,55,7,86.36318570481879,9.75068225699567
XTB metadynamics,pdb_1FKI,191,191,602.4049580190331,1.0,0,0,52,139,4.333848618841965,3.1539526597855136
XTB metadynamics,csd_CLPGDH,112,112,603.1874298360199,1.0,0,0,81,31,19.457659026968383,5.385602052107321
XTB metadynamics,pdb_1FKJ,71,71,604.8288756590337,1.0,0,0,48,23,26.29690763734929,8.518716558577939
XTB metadynamics,csd_GEZBUI,111,111,602.7580910678953,1.0,1,0,101,9,66.97312122976615,5.479619009708139
XTB metadynamics,csd_KAQJER,157,157,602.6295839399099,1.0,1,0,34,122,4.939586753605819,3.8630101534609613
XTB metadynamics,csd_WUBGAB,83,83,603.8639362696558,1.0,0,0,49,34,17.760704007931054,7.2754691116826
XTB metadynamics,csd_ABOJOR,151,151,603.1938882898539,1.0,0,0,96,55,10.967161605270071,3.9946615118533373
XTB metadynamics,pdb_2PH8,200,200,602.3740558791906,1.0,29,0,143,28,21.51335913854252,3.522655297539126
XTB metadynamics,csd_QUDROW,134,134,602.7376689668745,1.0,0,0,119,15,40.1825112644583,4.498042305722944
XTB metadynamics,csd_RULSUN,73,73,603.735896827653,1.0,1,0,71,1,603.735896827653,8.385220789272958
XTB metadynamics,csd_DAFGIA,165,165,602.7527606021613,1.0,69,0,81,15,40.18351737347742,6.2786745896058465
XTB metadynamics,csd_CUQRUB,33,33,607.5448570847511,1.0,0,0,23,10,60.754485708475116,18.41045021468943
XTB metadynamics,pdb_1XS7,88,88,603.8000747282058,1.0,0,0,65,23,26.252177162095904,6.861364485547793
XTB metadynamics,csd_LALWIF,248,248,602.309492925182,1.0,178,0,57,13,46.33149945578323,8.6044213275026
XTB metadynamics,csd_XAGXOT,201,201,602.2329046390951,1.0,1,0,89,111,5.425521663415271,3.0111645231954753
XTB metadynamics,csd_JOKSAD,336,336,602.0164110474288,1.0,5,0,66,265,2.271760041688411,1.818780698028486
XTB metadynamics,csd_CAHWEN,108,108,603.1918661314994,1.0,0,0,92,16,37.69949163321871,5.5851098715879575
XTB metadynamics,csd_MECBOL,359,359,602.0200857613236,1.0,12,0,227,120,5.01683404801103,1.7349282010412783
XTB metadynamics,csd_DALPUC,126,126,603.1445596627891,1.0,0,0,73,53,11.380086031373379,4.78686158462531
XTB metadynamics,csd_NITFEB,260,260,602.1856433358043,1.0,3,0,82,175,3.441060819061739,2.3431347989720015
XTB metadynamics,csd_YAGKOG,46,46,606.156634343788,1.0,0,0,27,19,31.902980754936213,13.177318137908435
XTB metadynamics,pdb_2C6H,164,164,602.4093757923692,1.0,8,0,143,13,46.33918275325917,3.8615985627715976
XTB metadynamics,pdb_2GPL,119,119,603.5183649491519,1.0,0,0,46,73,8.26737486231715,5.071582898732369
XTB metadynamics,pdb_1PKF,167,167,602.5117066111416,1.0,0,0,52,115,5.239232231401231,3.607854530605638
XTB metadynamics,pdb_1PPJ,165,165,602.60243980214,1.0,0,0,122,43,14.014010227956744,3.6521359988008486
XTB metadynamics,pdb_1YXQ,28,28,608.217072673142,1.0,0,0,11,17,35.777474863125995,21.72203830975507
XTB metadynamics,csd_RASTIO,311,311,602.1972678247839,1.0,81,0,111,119,5.060481242225075,2.6182489905425386
XTB metadynamics,pdb_3K5C,126,126,602.8060417808592,1.0,0,0,55,71,8.490225940575483,4.784174934768724
XTB metadynamics,csd_MALVAL10,80,80,603.7349662594497,1.0,0,0,63,17,35.51382154467351,7.546687078243122
XTB metadynamics,pdb_2WHW,198,198,602.2404872123152,1.0,0,0,103,95,6.339373549603318,3.04161862228442
XTB metadynamics,csd_ABOMOT,47,47,608.969692863524,1.0,0,0,35,12,50.747474405293666,12.956801975819658
XTB metadynamics,csd_DACMAW,106,106,603.3712774645537,1.0,0,0,93,13,46.413175189581054,5.692181862873149
XTB metadynamics,pdb_1YET,146,146,602.7770518753678,1.0,5,0,111,30,20.092568395845593,4.275014552307573
XTB metadynamics,csd_MIWTER,94,94,603.1717920526862,1.0,0,0,89,5,120.63435841053725,6.416721192049853
XTB metadynamics,pdb_7UPJ,210,210,602.4106163978577,1.0,16,0,31,163,3.695770652747593,3.105209362875555
XTB metadynamics,csd_YUPBAN01,45,45,606.2851923368871,1.0,0,0,30,15,40.419012822459145,13.473004274153046
